Episode,Duration_Minutes,Total_Reward,Avg_Queue_Length,Max_Queue_Length,Total_Waiting_Time,Avg_Waiting_Time,Phase_Switches,Throughput,Avg_Speed,Epsilon,Q_Table_Size,Vehicles_Processed,Efficiency_Score
27,0.3050818045934041,-8602.831585976053,5.637184115523466,24,179289.0,19.756957151160794,34,0,0.5411908748297397,0.04999916370086185,7112,0,0.0
28,0.29610625505447385,-9081.094259437437,5.518450184501845,24,166448.0,18.29561239310848,24,0,0.5697595277255272,0.04999916370086185,7356,0,0.0
29,0.2976238489151001,-9197.541450044784,5.577205882352941,24,171776.0,19.246036106737005,28,0,0.5631599291279847,0.04999916370086185,7596,0,0.0
30,0.29951934417088827,-9142.991257467278,5.773897058823529,24,180098.0,19.236629989008502,23,0,0.5500620203385783,0.04999916370086185,7829,0,0.0
31,0.2983294606208801,-9634.015735014014,5.705992509363296,24,173408.0,18.809227692392447,32,0,0.5634239278175386,0.04999916370086185,8056,0,0.0
32,0.3073966066042582,-9332.575693229806,5.656593406593407,24,170820.0,18.405566865718523,27,0,0.5585509175150181,0.04999916370086185,8297,0,0.0
33,0.29969653288523357,-9027.42431679219,5.479629629629629,24,163280.0,18.11691673183291,28,0,0.5762869497972107,0.04999916370086185,8532,0,0.0
34,0.3049100160598755,-8958.103395463933,5.710766423357664,24,174532.0,19.079995524465996,26,0,0.5414993442526763,0.04999916370086185,8771,0,0.0
35,0.3081932783126831,-8838.643287554747,5.630824372759856,24,174177.0,18.95826644007706,21,0,0.5455516992070094,0.04999916370086185,8996,0,0.0
36,0.3070255200068156,-9429.742474357547,5.7976190476190474,24,175876.0,18.790034964639077,26,0,0.5428776908378016,0.04999916370086185,9225,0,0.0
37,0.29880286057790123,-8933.242956396482,5.535977859778598,24,162475.0,17.702746779831287,24,0,0.5734260964807436,0.04999916370086185,9459,0,0.0
38,0.2994419574737549,-9083.375472564207,5.555656934306569,24,174326.0,19.799708815193547,33,0,0.5566188706435093,0.04999916370086185,9692,0,0.0
39,0.30488311847050986,-8878.41968964389,5.3393501805054155,24,160775.0,18.043809011476853,16,0,0.5696983700547282,0.04999916370086185,9936,0,0.0
40,0.3044605771700541,-8791.10655796273,5.49,24,164633.0,18.328915281874036,26,0,0.560678631018962,0.04999916370086185,10172,0,0.0
41,0.31092315912246704,-8616.123033265167,5.4827272727272724,24,165252.0,18.046469772247463,24,0,0.5720934594319032,0.04999916370086185,10405,0,0.0
